name,type,ingredients,alcohol_content,volume,awards,additional_info,product_introduction,pairing_food,brewery,address,website,contact_info,Naver Name,Naver Price,Naver Shipping Cost,Naver Link
블링블링 노을별,리큐르/기타주류,"정제수, 포도과육(국내산100%)증류원액, 정백당, 효소처리스테비아, 포도향(천연향료)",15%  ,375ml,,,"블링블링 노을별은 영덕 바다의 은하수를 담아낸 우주 술로, 포도의 향과 맛이 조화롭게 어우러져 달콤함을 선사합니다! 아름다운 비주얼을 가지고 있는 은하수를 담은 이 전통주는 오로라를 연상시키며, 15%의 알코올 도수와 다양한 블렌딩 옵션으로 다채로운 즐거움을 제공합니다!","파스타,피자,샐러드..",영덕주조,경북 영덕군 강구면 소월1길 16-10,https://smartstore.naver.com/yeongdeok,,블링블링 노을별 포도맛 15도 375ml,"최저25,000원","2,500원 포함",https://cr.shopping.naver.com/adcr.nhn?x=L8v6N1U%2FO7GY7esSR59I%2B%2F%2F%2F%2Fw%3D%3DsNmmNQDCk1oEjJudFVB4YZupPH5fGfBTodcrJKX0T%2FB9RuJtwp%2Bn4Ms4yDu0ozlOaNmtFFr%2BfQzkLKNa38%2FGdUiOuHjxUpE3RsFawYS0JhgaZ0b7glVrUxPWjmNTlIgIA4v5IhQokKhMMXjfLtBnz4aXgEDa0T5pi38Pw8Jode%2FHIt9ELSj9ZgOwWGT6cXiS3sVr2X3traHZiX5qWza156v%2BDvsAY5UUJQ5rltqQdmeHZvkZ%2FyUZf748bF9cLo%2F4SwQXJRP%2FG2MLu9sci%2FnDbEfbtvqkSBbJDyhFPYNfpxmWEgmwuApY3hUTSPTeavBV7DflqJO7uDhmeS1TD%2BmsNrlKy2fNFQRmM0oFU4K2OYkBD4P%2Bj2CVvS6QkrpszyaIoCuwrUM2Vi5bq9fxYHuPhKQn75MFQMRNkPk9FASirStX3TVxbaQ5XTWazgxT%2FaMLPI%2F2ExBPHuQUPbd718H9GILkAZnU99KM4oODqdH6E%2FWJ8xFiiHki%2FIAhpKNJriFwEic7bhHCTxW7wp4VvtBG1qyHOBigBX48AH14UfP5KmKdfQEOYrm1nvkHSF70DqgqNSfCEoobr911v%2B43QrLCBeAqoz77uFhiYjGz2dt4EPxN4AEIDayq%2FpRSrFRGX6Z%2FCwtIYh35n85gCNF9XAudNitgCgu8TH6IETI9IR%2BJIKXeQ%2BfILWkFs%2BSG60sRLCVq1ojA4oRl4FbAiRGhgWjWPoQau4fTwOUqyF63FjwpQRls%3D&nvMid=44440942621&catId=50014620
너브내 화이트(dry) 와인,과실주,"국산 포 도효모, 설탕, 아황산나트륨, 수트랄로스, 자일리톨",12%  ,750ml,,,향긋한 포도의 향기가 나는 건강한 포도와 강원도 홍천의 맑은 공기와 깨끗한 환경이 만나 샤또나드리만의 너브내 스파클링 화이트가 만들어 집니다.,"한식.생선회,초밥..",샤또나드리,강원도 홍천군 서면 팔봉산로 811-28 . 샤또나드리 / 너브내와인 (우 : 25101),https://smartstore.naver.com/nwine,,너브내 화이트 드라이 와인 750ml 12도,"38,000원","3,500원",https://cr.shopping.naver.com/adcr.nhn?x=XSAaMPud4dLikLWgnoKZLv%2F%2F%2Fw%3D%3DseOO%2B74NDExS%2F4nKkH0et1MjQEEyCOhLP26B3uYwcOWdQJV8jd8pHibP9fyUR5pZvUqFRrNnUdUIBfp3dHWnXsF%2F4WCDM8OKb6W64b%2BUW1I3xiILExlmUMMvyF6LlOcNSksiqCFHnOzAsYB0NIhd%2FJOYsmR32LlNtHpsYWdOIpdhf8xjDMfI8YJ9pLO5HhIYDS4b%2BJwVjer2EZ2Ouj36fFGtWo5ihYrXWytofGSqPOyQQ9P1R%2FYe8PM%2BTfpYJH9LuPkpfDed5gnYzf9J6xO7v%2FmvqR2unsG9Pw6XBns%2FftjJmn%2B6FVZ%2Fm0w7K7lHYQAO72J%2BwUC3QucJZ%2FuD5RStfbyzUIXMsy%2Bpeulr0MNMszkmVzoRNPxUG28lcnq74TmBTr6aABi8ng6F1GbtXua9pMODx7G3O23f6BeyZy4DerpdvDQ125QVAvUVkDhUQK4q0tXFFD2rn6uzIbuEECUpkvRSGwvSTcjV1M3LemQdbqwHeLt%2F66Tb23Bq62sG1oWN1iDkAqhjFeDRb%2BVKhYbaYPrEKHCxBhmtMLJXh3NqRZK2Aj7a%2BgJjAeHNkGZYcUjch%2FJfEGow0qO75NtOIrhGhLOLm6RAQyjeoHiigpNgNvJuFbDf4gHI5rSMJU1BWcIOg&nvMid=82383290586&catId=50014640
너디펀치,탁주,"정제수, 찹쌀, 효모, 정제효소",5%  ,700ml,,,"참쌀의 부드러운 단맛과 최적의 발효온도로 구현한 청량한 산미,저온 숙성을 통한 풍부한 과실향,상큼한 피니쉬가 조화롭습니다.",과일.,상주주조,경상북도 상주시 남성로 73-15 1층 (우 : 37196),https://smartstore.naver.com/nerdbrew,,[양조장직송] 너디펀치 5도 700ml,"9,000원","3,000원",https://cr.shopping.naver.com/adcr.nhn?x=GQ2%2FyZsbeCCeUplKokHbA%2F%2F%2F%2Fw%3D%3DssuZ0aPGsMxU464CEnXJs1dieN1PFPqqKQRyw58%2FZxa4McCk3A0WtmzfxiUOco1S2QWr0277BhHZAbDrTjoMR9LUbrlF22aYtQlSXM3KW6qWUCmJn9Lr96vnpaUwLmLbSsjVECXFGEyhIXDcuT1%2FCxjAWwFEy4RHM636OqPhQmCfZKA2YWU8hNj6icyxgOMDu3buClQvm3PF1NOHArNIkd%2B8lu1tSjXJys1IlQccY8DTByQ4Ux%2FRHSxY5UQHPnSfCEIZJB1yuP5kkcuYnGBP9uwVt%2Bq%2BEGbIURH4Pt76u0TYaDqVA3DdGPMm0c8luKXgyL02R%2F%2F9i2Gy3KcA4zikz51FdH7LzHtMcntTzZbWxUhOu1%2BTGny5EWD7mJk8bNgO6R7dOWtojtUDP7lhWq%2FygIfoP2eCa8yIjClFwvS9UGt%2FjYkB0T4Y7NBNQksHH3woebMGb6u6N9AG5Mt8lrkmTV2RPLjnx1evCCunzV4xwesXAbZX6GoDelxVRQ0E89E8s39Y2WS%2BWiFywFd0wAkW%2B3D2TEIwAux5lspHwKbDY0ifDdRYpBfullr9NbJp3hwLHb1NmOoRBMBsXNQGXzjfbC%2BFUQB%2FrDAzm2q1KHRsHkfE%3D&nvMid=85119435945&catId=50014560
너디로제,탁주,"너디로제:정제수, 찹쌀, 체리, 효모, 정제효소",5.5%  ,700ml,,,"체리의 풍부함과,애플민트의 시원한 향이 만드는 환상의 하모니의 새콤달콤한 막걸리입니다.","체리빵,각종 디저트류,파스타.",상주주조,경상북도 상주시 남성로 73-15 1층 (우 : 37196),https://smartstore.naver.com/nerdbrew,,너디로제 5.5도 700ml,"최저11,500원","2,500원 포함",https://cr.shopping.naver.com/adcr.nhn?x=59qnkgBy23riQ4g%2BHRFYNP%2F%2F%2Fw%3D%3DseiFYtJJcSkkYAYU5ij4ng8b6Xq8tCbTxVoLVB0a26hgvBesQjH4okLCszdgPHg1%2BUJ9KsbKR%2FP60xGEOyiJBZAc8dRB%2BUFzUeuA971jw4iANugUYGQfbKGXwGiBm5HVkybP9gBZ2eSWBsY3qZ8WHQEls1M9xucXxkPPt7QTmSRFr6kdrp7BvT8OlwZ7P37YyPOVeHAElzcbzpXLxdQc2TeFkOHN2rvpHQ9Qas5RsXGOHGsnd79gjb%2BU5eIDj1wmScvDyfuuKmZIA5PbctKDp%2Bur2w%2Ff7%2BMKHM7HyFxV4ELI%2BSl8N53mCdjN%2F0nrE7u%2F%2Ba%2BpHa6ewb0%2FDpcGez9%2B2Mmaf7oVVn%2BbTDsruUdhAA7vR8%2FYFllvH4IHtXURr1E5k1EL7PBh6vo%2Bzr1Db8r4ssXadbej38m5GzKo9HDs1YNZAU1E7SmRhyHe96N%2F5835KBHS7iYdd4BTrgASNQmm8sPO%2FI4pP8oyPFrnyhcViTAZFj3BksJpYqxG4o9uSs3RN7hnE37pCygHDEhjiuuX%2FA%2FQ90CBafBzblU%2FzfbfZ%2BDFq372WiVrG6GndDFmTe0gT%2BgtF15PMkmjkNDmi88yMRTYiRSfT7c13h%2BrtO%2F%2FL%2BlNnmhxAlT%2BujSA7tn4ZqJXjhWw3%2BIByOa0jCVNQVnCDoA%3D%3D&nvMid=45394446618&catId=50014560
가무치 43%,증류주,"정제수, 쌀(국내산), 입국, 효모",43%  ,375ml,,,감압식 소주와 비교하여 상압식 소주는 향이 다채롭고 화려하다는 특징이 있습니다.하지만 자칫 탄내취나 누룩취가 과하게 두드러질 수 있다는 단점이 있습니다.,,다농바이오,충청북도 충주,https://smartstore.naver.com/danongbio,,가무치 소주 43%,"33,000원",무료,https://cr.shopping.naver.com/adcr.nhn?x=iqB8xL5BzpnuII%2BLF4W20P%2F%2F%2Fw%3D%3DsXPjCcJXdgA%2FyfAOCGZlEDSTA61lRjKfkqBXm%2F8Ni3DC7mUPQDtLPz8U9wtt%2Fwmql2iETiY6UqCV2Rb2lH1l%2B0uthdYPLD513gbNjh4iQgZu%2Fu%2BD4J5G9nFU4DVupV3jluY37w83YOMwTwXcSsqB4TU7ghl%2FG0Y%2FChdF8FOZzSq%2B6FbbXR3G23p22mFzoS%2BY5VwxzkJfHb7HpU7Q4lyHRb8HJDhTH9EdLFjlRAc%2BdJ8IQhkkHXK4%2FmSRy5icYE%2F27%2FhDyiXZ86Jo%2BZEQ64BV62WQR2HeOfXmQinGXk82NsMh0oWKO4xgv1GjfDdxdx1He7IcLxA4qPj6rVcVMM1qKyk9oqETu0bvczLm2BfXVJl%2Bmzyxe30bUm6CCMdzvH2n359M%2Fsw36Yo%2B4cCHs2JaZ2V1%2B2W6XrPkjYplGV%2B5faiKEPof%2BcIYbGMqLeGlTIulnwpHdgqUP2oYCXqBf0e9k7iq86%2FlP8QIhC9PZiM%2FZROYoCWJcEuQB63XNYH0cCGlNV3OdHgSE8LoEjTx9zpNPbFaRsOtQUnaEEbxBoHxZXOc%3D&nvMid=45175725880&catId=50014600
호땅,탁주,"물,쌀(국내산),고과당,국(밀),합성향료(호두향,두유향,커피땅콩향),땅콩(국내산),효모,젖산(산도조절제), 효소처리스테비아 (밀,땅콩함유)",6%  ,750ml,,,"호땅은 국내산 쌀로만 빚어냅니다. 또, 일반 막걸리와는 다르게 쌀을 찌지 않고, 생 쌀을 갈아서 만드는 생쌀발효법으로 제조합니다. 이렇게 제조함으로써 입안에서의 질감이 훨씬 부드럽고, 목넘김이 가벼운 것이 특징입니다. 고소한 맛을 재현하고자, 땅콩에 호두 향을 더해 담백하고, 풍미 가득하며, 부드러운 맛을 느끼실수 있습니다.","족발,회,닭볶은탕...",배혜정도가,경기도 화성시 정남면 서봉로 835,http://www.baedoga.co.kr/,,,,,
로아 포르토,증류주,쌀소주원액(쌀(국내산),40%  ,700ml,,,국내산 햅쌀과 특허받은 누룩을 정성을 담아 끓여 증류하고 오크통에 숙성한 진짜 소주입니다. 배도가 로아 포르토는 국내 최초 포르투 포도주 오크통을 사용해 숙성한 지금까지 볼 수 없었던 프리미엄 한국 증류식 소주입니다.,견과류.,배혜정도가,경기도 화성시 정남면 서봉로 835,http://www.baedoga.co.kr/,,[배혜정도가] 배도가 로아 포르토 - 오크통 숙성 한국형 위스키  1개  700ml,"400,000원",무료,https://cr.shopping.naver.com/adcr.nhn?x=Fc3Hd8FWcUuYcGMeJB%2Bhdf%2F%2F%2Fw%3D%3Dscb0Afq6Sk1mPkO3uKaBcSxuFIklGpoSzbYxcpraqfZplq7hk%2F8aryDjxltpUORkWtlCSfvQviSHk7Gh3SrByAU0JA2Eez7q9i3aCU9GLn5VAZIOtv7BOiiKSZzL9f%2F0GXgza1rnXPlti%2F7NSRCU0zGQ6f7EU5pvxbj0cnU5jRDRer%2FNlNQMie7Zc%2BFoNI%2FbShrj5p43KyGLkNGHpAKAf8SUl6Zlp6XaezYJs%2BrrdaZsxlj%2BNF34qLOYUXgcVoPLEDP7ze03krHfb8dC3F%2FUpPamLe3xaE9dDp4DSEZoCKOVfhBZfgAnbVQrWryX1ZGztmOJjELGS%2FekChxtaIYCDgnVDo1VI4%2FcPj6Yop8sF1Y5kspqzsnMHm1Ur9MH3fd8cgGwmPNX%2Fe%2BXkuZ30duRQYj%2FN1gL%2FBgCKENDMCz1nm%2F0vJ55e6qb6zgsj%2BPRoKWAZPYzeYjRyPPL%2BQIxK2x%2FykGwivY6YEdr8vUMchR2bzy9GAAplMP741yTcw%2BIQEgH4FZchQwqvmVRRObyR8d3FAQTSeYjWfcx%2BOXCYwolkIOOWuP8x80waOAocGd%2BxCEIMe%2Fiq46FFwVRkE0TTDZjY3sFvtDdbuWm9EtkAhjJkZn1H6bmGBV5whosGIjB5%2BtOHNgeNh7EIPs4zZ%2FlUsjAz5J4fHCztLi44etOisMDR5x7H4lq8BHNsECllL804P%2F%2Fl1hu6QCPToQ8xHPAV1DhMINmVVgsMQmmcjxwXoIw9IhbE9en5cb01NKMOmjmXlJhHV4cMwuJipEd%2BivioPfcGxw4SwcLvxUEucVmH%2BcOht40%3D&nvMid=46290097122&catId=50014520
우곡소주,증류주,"쌀소주원액(쌀(국내산), 국, 효모, 젖산, 물), 물",25%  ,375ml,,,감미료를 전혀 넣지 않고 오직 쌀과 누룩으로만 빚은 한국 전통 증류식 소주입니다.,파스타.회/육회 등 ..,배혜정도가,경기도 화성시 정남면 서봉로 835,http://www.baedoga.co.kr/,,우곡 소주 25,"12,000원",무료,https://cr.shopping.naver.com/adcr.nhn?x=snlgx3x%2Fm8%2FKKhQytQwtHv%2F%2F%2Fw%3D%3DsT5drpxNYpnzHlvf3w27j%2F5NyFFJ%2FHOhtER7GXCBG%2BnmMlNnuVFP%2BZvka%2Bpsys103JxbQ1tKmmI0kaPhWa16VqtZYC1IfXfrnWTecg2hHfbaptd0g0dtuwLqUc%2FdR78XOh86nMcfWsFgsrjkDYWSPskoLE7cDwln2nLuNdOmsW47%2BrXmU%2Bg88PiBzw4pnyq68jJSwqfHCwphc3s7RI5nWbzS9DDTdiediQAuhqGmL0M8l3rkf31E4JqYCVMyxYZkHB7P9jx5KZr1oy9qstZx7m3cLW7DFEDtaO4lSnnaqt8GFqTPzHRW7De2GUhyVgQTNdKFijuMYL9Ro3w3cXcdR3uyHC8QOKj4%2Bq1XFTDNaisqCaeOWhKUvdunfaoNrbbNWWc1YrwAI8qwzEEBI8rilFMkeGA%2BnKGUoOWZ2VPI6DAh0b5SgE4k3ef6%2FnZ9KJ59wL7sQdxDigMJd8hvY1FpYmcvTtug4vCjEvohqOyQz59ktIl0%2B9f9ve44kBcr%2BjugPyysaTEWKo2G3bwOeO3PQ8stVYavx%2B%2B8fWZa9SBc8rqM%3D&nvMid=45175949860&catId=50014600
복순도가 찹쌀탁주 9도,탁주,"정제수,찹쌀(국산).27.4%,곡자(밀)",9%  ,935ml,,,참쌀에서 배어나온 단맛이 기분 좋게 혀를 감돕니다.영양가 높은 찹쌀의 찰기는 더욱 깊고 진한 맛을 선사합니다.,"고소한 전 ,튀김류,해산물요리.",복순도가,울산광역시 울주군 상북면 향산리 439,http://www.boksoon.com/,,복순도가 찹쌀탁주 9도 935ml,"최저22,000원","4,000원 포함",https://cr.shopping.naver.com/adcr.nhn?x=oKtqGttguCaNaq6uSB7kEv%2F%2F%2Fw%3D%3DsUVm%2Ba5g24Liscza9pp4rxMekE91xyWVUd4o1IH7J7skexdr63dslah1EZAXP1pIq94o5a92bDp%2BdYX5cZur6P9OciZiFDB1IYuIZN6GQYF8qzIa5%2FbOhzSNFoD1qvtnqP%2BetqSpEDQDyKomwHzN2sgo%2F%2B9Ohlf7QInSPVXiFxKZnnVvjMgiHMjbFhm4v1%2F1AP2tfKoQ0NQPyiad34AQ6Kx5ep5YNBb2X2rIa4WDx0tvsSe9L%2F%2BYM%2BNZhFUOiZsVRufJtHk6cZ5l46m%2FYz66qofJX1MwmtTqrYiz1Tc4ShX6DNV62DwzjP15d3gZC90E5bazwQ4dvPrikYtvqcyvKBHAWcL4c61kNUWCTyR23egibt0OPMghuN%2FsWk8i1HCGSkYdNeAc%2FkqihQKoAU%2F4IIMOmY27ZGze0Q%2BtXRlM4OxtarJoVrbEtunAYIkKGowOqKP%2BRr%2BVvYYvLf0zg5xeHED1nRJ4yoQ1ByXgZXYF4asX5rb0R1UV4%2B6QsjDIImUIDuvrKJmmke%2FbY9su%2FbeitlQp3GmZH8572EBGDELnqRN0ZLwumBiLJOdOJOAktnf6o9zNHrlsFgrIa8hUhbhzl3Z5M33E5WIj0whKaC4SXYm15oL3UwZpjp%2BgLZbh3A2kGe%2FR1vhmYFKI4sXtkDYpXtGJxyHBE3CYnzhPLG%2BOCDMUfmX4Cm3qyw75dCfZmsQuNxIUOz04Ms0kW%2BvXyZ9baN82OqH9l6YII5ugOGfB4CYY%3D&nvMid=45409436618&catId=50014560
맵시 막걸리 블랙라벨,탁주,"정제수,쌀(국내산),누룩,효소제,효모",10%  ,750ml,,,고집스러운 전통방식을 통해 귀하게 만들어진 집중도 높은 전통주입니다.,,기억브루어리,경기도 김포시 하성면 누산봉성로237번길 163 3동 (우 : 10013),https://smartstore.naver.com/mapcykorea,,맵시 막걸리 블랙라벨,"79,000원","4,000원",https://cr.shopping.naver.com/adcr.nhn?x=QGTslasBR2zzg7nMnAALr%2F%2F%2F%2Fw%3D%3DsaM%2BQZH3DVOCbXbpp4rNil5n6jf3fOIz1oHvJXA93VNewCPS2wNx1rS%2F9v0McmxN4OF%2FzgvhBIK0jV75Ars95AsMKOH0QtN5XgBO%2F1uQBfK1KhO4MBMyhPkCqeAZZbOWZqBScPBRIzY8%2FEvJofrCL2zIfwf5Pg1vy377oO4mRqV42kmZ8vtTIEnyRuaHE0UDY9ayL7mz9v%2FjRdrE0WNoRFfDhriZts9huSHs3EznztsXfKDBmjMrxK558jqTUDfS7y%2F6MHZ6u%2F5n6uuzlUc6JNEuUiTS4CHUtVxQrWeRhExgptSkLNo%2BLE9N9dssATvAxjtbUv5ZdcZX%2BC34rxrxf5df1pdSO%2BI%2BDgHRG4nBv%2BaJ85lQiyk7IZQn0w%2FeAB3mucEoOpMsxRjTxpeUTFovOTaFZSo2Mu9o2Tl0O7XXHY%2FBgXu3mFrE0GduIt2DHi4ZFLSDnONDl%2F3ne%2Bw%2F61Uxs7PSRNm5edpCclCpvwRL7jMyjrgWQ%2F0JBsjHud4pzo5y1xgqEndI5nTKBlOpExh7kUYmIHqrwtL2pY5wHpCF%2B1MZC7axmvj2PHwUYmHrWN%2Bf%2B5Hv1T%2FoDPeAT2ZD%2BWCfnsQ%3D%3D&nvMid=86728650678&catId=50014560
